english;french
Agriculture;Agriculture  
All other manufacturing;Toutes autres fabrications 
Aluminum and non-ferrous metal manufacturing;Fabrication d'aluminium et métaux non-ferreux 
Anthracite;Anthracite
Aviation gasoline;Essence d'aviation
Aviation turbo fuel;Carburéacteur
Canadian airlines;Lignes aériennes canadiennes 
Canadian bituminous;Bitumineux canadien
Cement manufacturing;Fabrication de ciment 
Chemicals and fertilizers manufacturing;Fabrication de produits chimiques et engrais  
Coke oven gas;Gaz de fours à coke
Coke;Coke
Commercial and other institutional;Commerces et autres institutions 
Construction;Construction  
Crude oil; Pétrole brut
Diesel fuel oil;Carburant diesel
Domestic marine;Lignes maritimes domestiques 
Energy use;Usage énergétique 
Exports;Exportations
Foreign airlines;Lignes aériennes étrangères
Foreign marine;Lignes maritimes étrangères
Forestry and logging and support activities for forestry;Foresterie et exploitation forestière et activités de soutien à la foresterie 
Gas plant natural gas liquids (NGL's);Liquides de gaz naturel des usines de gaz (LGN)
Heavy fuel oil;Mazouts lourds
Imported bituminous;Bitumineux importé
Imports;Importations
Inter-product transfers;Transferts inter-produits
Inter-regional transfers;Transferts inter-régions
Iron and steel manufacturing;Fabrication de fer et acier 
Kerosene and stove oil;Mazouts pour poêles et kerosene
Light fuel oil;Mazouts légers
Lignite;Lignite
Mining and oil and gas extraction;Extraction minière et de pétrole et de gaz 
Motor gasoline;Essence à moteur 
Natural gas;Gaz naturel
Net supply;Approvisionnement net
Non-energy products;Produits non-énergétiques
Non-energy use;Usage non-énergétique 
Other adjustments;Autres ajustements 
Petroleum coke;Coke pétrolier
Pipelines;Pipelines  
Primary electricity;Électricité primaire
Primary energy;Énergie primaire
Producer consumption;Autoconsommation 
Production;Production
Public administration;Administrations publiques 
Pulp and paper manufacturing;Fabrication de pâte et papier 
Railways;Société ferroviaires
Refined petroleum products manufacturing;Fabrication des produits pétroliers raffinés 
Refinery liquefied petroleum gases (LPG's);Gaz pétroliers liquéfiés des raffineries (GPL)
Residential;Résidentiel 
Retail pump sales;Ventes à la pompe
Road transport and urban transit;Transport commercial et en commun 
Secondary electricity;Électricité secondaire
Statistical difference;Différence statistique
Steam;Vapeur
Still gas;Gaz de distillation
Stock variation;Variation des stocks
Sub bituminous;Sous bitumineux;
Total airlines;Total lignes aériennes
Total coal;Total charbon
Total industrial;Total industriel
Total manufacturing;Total fabrication
Total marine;Total lignes maritimes
Total primary and secondary energy;Énergie primaire et secondaire totale
Total refined petroleum products;Total des produits pétroliers raffinés
Total transportation;Total transport 
Transformed to coke and manufactured gases;Transformé en coke et gaz manufacturé
Transformed to electricity by industry;Transformé en énergie électrique par industries 
Transformed to electricity by utilities;Transformé en énergie électrique par services
Transformed to refined petroleum products;Transformé en produits pétroliers raffinés
Transformed to steam generation;Transformé en production de vapeur
